"","WK_ID","WK","MESSSTELLE","ID_ABSCHNITT","QK","PARAMETER","DATUM","WERT","KOMMENTAR","EINHEIT","ABUNDANZART","METHODE","MESSPROGRAMM","EU_CD_LW"
"37","80001581473","Templiner See bei Templin","2794","2794a","Diatomeen","Achnanthidium minutissimum var. minutissimum",2014-07-11,2.97,NA,"%","Abundanzen (alle) ohne cf","PHYLIB 4.1","Diatomeen Seen 2014","DELW_DEBB80001581473"
"38","80001581473","Templiner See bei Templin","2794","2794a","Diatomeen","Achnanthidium minutissimum var. minutissimum",2014-07-11,22,NA,NA,"Zähldaten Taxa ohne cf","PHYLIB 4.1","Diatomeen Seen 2014","DELW_DEBB80001581473"
"39","80001581473","Templiner See bei Templin","2794","2794a","Diatomeen","Achnanthidium minutissimum var. minutissimum",2017-08-05,16.16,NA,"%","Abundanzen (alle) ohne cf","PHYLIB 5.3","Diatomeen Seen 2017","DELW_DEBB80001581473"
"40","80001581473","Templiner See bei Templin","2794","2794a","Diatomeen","Achnanthidium minutissimum var. minutissimum",2017-08-05,95,NA,NA,"Zähldaten Taxa ohne cf","PHYLIB 5.3","Diatomeen Seen 2017","DELW_DEBB80001581473"
"41","80001581473","Templiner See bei Templin","2795","2795","Diatomeen","Achnanthidium minutissimum var. minutissimum",2010-08-04,21.79,NA,NA,"Abundanzen (alle)","Phylib Diatomeen","Diatomeen Seen 2010 Nordlos","DELW_DEBB80001581473"
"42","80001581473","Templiner See bei Templin","2795","2795","Diatomeen","Achnanthidium minutissimum var. minutissimum",2010-08-04,112,NA,NA,"Zähldaten Taxa","Phylib Diatomeen","Diatomeen Seen 2010 Nordlos","DELW_DEBB80001581473"
"43","80001581473","Templiner See bei Templin","2795","2795a","Diatomeen","Achnanthidium minutissimum var. minutissimum",2014-07-11,7.79,NA,"%","Abundanzen (alle) ohne cf","PHYLIB 4.1","Diatomeen Seen 2014","DELW_DEBB80001581473"
"44","80001581473","Templiner See bei Templin","2795","2795a","Diatomeen","Achnanthidium minutissimum var. minutissimum",2014-07-11,30,NA,NA,"Zähldaten Taxa ohne cf","PHYLIB 4.1","Diatomeen Seen 2014","DELW_DEBB80001581473"
"45","80001581473","Templiner See bei Templin","2795","2795a","Diatomeen","Achnanthidium minutissimum var. minutissimum",2017-08-05,10.94,NA,"%","Abundanzen (alle) ohne cf","PHYLIB 5.3","Diatomeen Seen 2017","DELW_DEBB80001581473"
"46","80001581473","Templiner See bei Templin","2795","2795a","Diatomeen","Achnanthidium minutissimum var. minutissimum",2017-08-05,64,NA,NA,"Zähldaten Taxa ohne cf","PHYLIB 5.3","Diatomeen Seen 2017","DELW_DEBB80001581473"
"47","80001581473","Templiner See bei Templin","2796","2796","Diatomeen","Achnanthidium minutissimum var. minutissimum",2010-08-02,19.65,NA,NA,"Abundanzen (alle)","Phylib Diatomeen","Diatomeen Seen 2010 Nordlos","DELW_DEBB80001581473"
"48","80001581473","Templiner See bei Templin","2796","2796","Diatomeen","Achnanthidium minutissimum var. minutissimum",2010-08-02,101,NA,NA,"Zähldaten Taxa","Phylib Diatomeen","Diatomeen Seen 2010 Nordlos","DELW_DEBB80001581473"
"49","80001581473","Templiner See bei Templin","2796","2796a","Diatomeen","Achnanthidium minutissimum var. minutissimum",2014-07-11,1.51,NA,"%","Abundanzen (alle) ohne cf","PHYLIB 4.1","Diatomeen Seen 2014","DELW_DEBB80001581473"
"50","80001581473","Templiner See bei Templin","2796","2796a","Diatomeen","Achnanthidium minutissimum var. minutissimum",2014-07-11,9,NA,NA,"Zähldaten Taxa ohne cf","PHYLIB 4.1","Diatomeen Seen 2014","DELW_DEBB80001581473"
"51","80001581473","Templiner See bei Templin","2796","2796a","Diatomeen","Achnanthidium minutissimum var. minutissimum",2017-08-05,11.25,NA,"%","Abundanzen (alle) ohne cf","PHYLIB 5.3","Diatomeen Seen 2017","DELW_DEBB80001581473"
"52","80001581473","Templiner See bei Templin","2796","2796a","Diatomeen","Achnanthidium minutissimum var. minutissimum",2017-08-05,72,NA,NA,"Zähldaten Taxa ohne cf","PHYLIB 5.3","Diatomeen Seen 2017","DELW_DEBB80001581473"
"53","80001581473","Templiner See bei Templin","2791","2791a","Diatomeen","Achnanthidium neomicrocephalum",2017-08-05,13.08,NA,"%","Abundanzen (alle) ohne cf","PHYLIB 5.3","Diatomeen Seen 2017","DELW_DEBB80001581473"
"54","80001581473","Templiner See bei Templin","2791","2791a","Diatomeen","Achnanthidium neomicrocephalum",2017-08-05,68,NA,NA,"Zähldaten Taxa ohne cf","PHYLIB 5.3","Diatomeen Seen 2017","DELW_DEBB80001581473"
"55","80001581473","Templiner See bei Templin","2792","2792a","Diatomeen","Achnanthidium neomicrocephalum",2017-08-05,0.5,NA,"%","Abundanzen (alle) ohne cf","PHYLIB 5.3","Diatomeen Seen 2017","DELW_DEBB80001581473"
"56","80001581473","Templiner See bei Templin","2792","2792a","Diatomeen","Achnanthidium neomicrocephalum",2017-08-05,3,NA,NA,"Zähldaten Taxa ohne cf","PHYLIB 5.3","Diatomeen Seen 2017","DELW_DEBB80001581473"
"57","80001581473","Templiner See bei Templin","2793","2793a","Diatomeen","Achnanthidium neomicrocephalum",2017-08-05,6.29,NA,"%","Abundanzen (alle) ohne cf","PHYLIB 5.3","Diatomeen Seen 2017","DELW_DEBB80001581473"
"58","80001581473","Templiner See bei Templin","2793","2793a","Diatomeen","Achnanthidium neomicrocephalum",2017-08-05,37,NA,NA,"Zähldaten Taxa ohne cf","PHYLIB 5.3","Diatomeen Seen 2017","DELW_DEBB80001581473"
"59","80001581473","Templiner See bei Templin","2794","2794a","Diatomeen","Achnanthidium neomicrocephalum",2017-08-05,0.85,NA,"%","Abundanzen (alle) ohne cf","PHYLIB 5.3","Diatomeen Seen 2017","DELW_DEBB80001581473"
"60","80001581473","Templiner See bei Templin","2794","2794a","Diatomeen","Achnanthidium neomicrocephalum",2017-08-05,5,NA,NA,"Zähldaten Taxa ohne cf","PHYLIB 5.3","Diatomeen Seen 2017","DELW_DEBB80001581473"
"61","80001581473","Templiner See bei Templin","2796","2796a","Diatomeen","Achnanthidium neomicrocephalum",2017-08-05,1.72,NA,"%","Abundanzen (alle) ohne cf","PHYLIB 5.3","Diatomeen Seen 2017","DELW_DEBB80001581473"
"62","80001581473","Templiner See bei Templin","2796","2796a","Diatomeen","Achnanthidium neomicrocephalum",2017-08-05,11,NA,NA,"Zähldaten Taxa ohne cf","PHYLIB 5.3","Diatomeen Seen 2017","DELW_DEBB80001581473"
"63","80001581473","Templiner See bei Templin","2795","2795a","Makrophyten","Acorus calamus",2007-08-01,7.5,NA,"%","Deckungsgrad","MIB 2004","keine Angabe","DELW_DEBB80001581473"
"64","80001581473","Templiner See bei Templin","2795","2795a","Makrophyten","Acorus calamus",2014-07-03,4,NA,"%","Deckungsgrad","MIB 2004","Makrophyten 2014","DELW_DEBB80001581473"
"65","80001581473","Templiner See bei Templin","2795","2795a","Makrophyten","Acorus calamus",2023-07-30,2,NA,"Häufigkeit nach Kohler (1978)","Form Em ohne cf (cf=0)","PHYLIB 5.3","Makrophyten 2023","DELW_DEBB80001581473"
"66","80001581473","Templiner See bei Templin","2795","2795b","Makrophyten","Acorus calamus",2023-07-30,2,NA,"Häufigkeit nach Kohler (1978)","Form Em ohne cf (cf=0)","PHYLIB 5.3","Makrophyten 2023","DELW_DEBB80001581473"
"67","80001581473","Templiner See bei Templin","2792","2792","Diatomeen","Adlafia bryophila",2010-08-02,0.388,NA,NA,"Abundanzen (alle)","Phylib Diatomeen","Diatomeen Seen 2010 Nordlos","DELW_DEBB80001581473"
"68","80001581473","Templiner See bei Templin","2792","2792","Diatomeen","Adlafia bryophila",2010-08-02,2,NA,NA,"Zähldaten Taxa","Phylib Diatomeen","Diatomeen Seen 2010 Nordlos","DELW_DEBB80001581473"
"69","80001581473","Templiner See bei Templin","2792","2792a","Diatomeen","Adlafia bryophila",2017-08-05,0,NA,NA,"Zähldaten Taxa ohne cf","PHYLIB 5.3","Diatomeen Seen 2017","DELW_DEBB80001581473"
"70","80001581473","Templiner See bei Templin","2792","2792a","Diatomeen","Adlafia bryophila",2017-08-05,0,NA,"%","Abundanzen (alle) ohne cf","PHYLIB 5.3","Diatomeen Seen 2017","DELW_DEBB80001581473"
"71","80001581473","Templiner See bei Templin","2793","2793","Diatomeen","Adlafia bryophila",2010-08-04,0.385,NA,NA,"Abundanzen (alle)","Phylib Diatomeen","Diatomeen Seen 2010 Nordlos","DELW_DEBB80001581473"
"72","80001581473","Templiner See bei Templin","2793","2793","Diatomeen","Adlafia bryophila",2010-08-04,2,NA,NA,"Zähldaten Taxa","Phylib Diatomeen","Diatomeen Seen 2010 Nordlos","DELW_DEBB80001581473"
"73","80001581473","Templiner See bei Templin","2795","2795a","Diatomeen","Adlafia bryophila",2017-08-05,1.2,NA,"%","Abundanzen (alle) ohne cf","PHYLIB 5.3","Diatomeen Seen 2017","DELW_DEBB80001581473"
"74","80001581473","Templiner See bei Templin","2795","2795a","Diatomeen","Adlafia bryophila",2017-08-05,7,NA,NA,"Zähldaten Taxa ohne cf","PHYLIB 5.3","Diatomeen Seen 2017","DELW_DEBB80001581473"
"75","80001581473","Templiner See bei Templin","2792","2792","Diatomeen","Amphipleura pellucida",2010-08-02,0.1,NA,NA,"Abundanzen (alle)","Phylib Diatomeen","Diatomeen Seen 2010 Nordlos","DELW_DEBB80001581473"
"76","80001581473","Templiner See bei Templin","2792","2792","Diatomeen","Amphipleura pellucida",2010-08-02,0.1,NA,NA,"Zähldaten Taxa","Phylib Diatomeen","Diatomeen Seen 2010 Nordlos","DELW_DEBB80001581473"
"77","80001581473","Templiner See bei Templin","2793","2793","Diatomeen","Amphipleura pellucida",2010-08-04,0.385,NA,NA,"Abundanzen (alle)","Phylib Diatomeen","Diatomeen Seen 2010 Nordlos","DELW_DEBB80001581473"
"78","80001581473","Templiner See bei Templin","2793","2793","Diatomeen","Amphipleura pellucida",2010-08-04,2,NA,NA,"Zähldaten Taxa","Phylib Diatomeen","Diatomeen Seen 2010 Nordlos","DELW_DEBB80001581473"
"79","80001581473","Templiner See bei Templin","2794","2794a","Diatomeen","Amphipleura pellucida",2017-08-05,0.51,NA,"%","Abundanzen (alle) ohne cf","PHYLIB 5.3","Diatomeen Seen 2017","DELW_DEBB80001581473"
"80","80001581473","Templiner See bei Templin","2794","2794a","Diatomeen","Amphipleura pellucida",2017-08-05,3,NA,NA,"Zähldaten Taxa ohne cf","PHYLIB 5.3","Diatomeen Seen 2017","DELW_DEBB80001581473"
"81","80001581473","Templiner See bei Templin","2795","2795a","Diatomeen","Amphipleura pellucida",2014-07-11,0,NA,NA,"Zähldaten Taxa ohne cf","PHYLIB 4.1","Diatomeen Seen 2014","DELW_DEBB80001581473"
"82","80001581473","Templiner See bei Templin","2795","2795a","Diatomeen","Amphipleura pellucida",2014-07-11,0,NA,"%","Abundanzen (alle) ohne cf","PHYLIB 4.1","Diatomeen Seen 2014","DELW_DEBB80001581473"
"83","80001581473","Templiner See bei Templin","2796","2796a","Diatomeen","Amphipleura pellucida",2017-08-05,0.63,NA,"%","Abundanzen (alle) ohne cf","PHYLIB 5.3","Diatomeen Seen 2017","DELW_DEBB80001581473"
"84","80001581473","Templiner See bei Templin","2796","2796a","Diatomeen","Amphipleura pellucida",2017-08-05,4,NA,NA,"Zähldaten Taxa ohne cf","PHYLIB 5.3","Diatomeen Seen 2017","DELW_DEBB80001581473"
"85","80001581473","Templiner See bei Templin","2792","2792","Diatomeen","Amphora copulata",2010-08-02,0.777,NA,NA,"Abundanzen (alle)","Phylib Diatomeen","Diatomeen Seen 2010 Nordlos","DELW_DEBB80001581473"
"86","80001581473","Templiner See bei Templin","2792","2792","Diatomeen","Amphora copulata",2010-08-02,4,NA,NA,"Zähldaten Taxa","Phylib Diatomeen","Diatomeen Seen 2010 Nordlos","DELW_DEBB80001581473"
"87","80001581473","Templiner See bei Templin","2792","2792a","Diatomeen","Amphora copulata",2017-08-05,0.17,NA,"%","Abundanzen (alle) ohne cf","PHYLIB 5.3","Diatomeen Seen 2017","DELW_DEBB80001581473"
"88","80001581473","Templiner See bei Templin","2792","2792a","Diatomeen","Amphora copulata",2017-08-05,1,NA,NA,"Zähldaten Taxa ohne cf","PHYLIB 5.3","Diatomeen Seen 2017","DELW_DEBB80001581473"
"89","80001581473","Templiner See bei Templin","2793","2793","Diatomeen","Amphora copulata",2010-08-04,0.385,NA,NA,"Abundanzen (alle)","Phylib Diatomeen","Diatomeen Seen 2010 Nordlos","DELW_DEBB80001581473"
"90","80001581473","Templiner See bei Templin","2793","2793","Diatomeen","Amphora copulata",2010-08-04,2,NA,NA,"Zähldaten Taxa","Phylib Diatomeen","Diatomeen Seen 2010 Nordlos","DELW_DEBB80001581473"
"91","80001581473","Templiner See bei Templin","2793","2793a","Diatomeen","Amphora copulata",2014-07-11,0,NA,NA,"Zähldaten Taxa ohne cf","PHYLIB 4.1","Diatomeen Seen 2014","DELW_DEBB80001581473"
"92","80001581473","Templiner See bei Templin","2793","2793a","Diatomeen","Amphora copulata",2014-07-11,0,NA,"%","Abundanzen (alle) ohne cf","PHYLIB 4.1","Diatomeen Seen 2014","DELW_DEBB80001581473"
"93","80001581473","Templiner See bei Templin","2795","2795","Diatomeen","Amphora copulata",2010-08-04,0.389,NA,NA,"Abundanzen (alle)","Phylib Diatomeen","Diatomeen Seen 2010 Nordlos","DELW_DEBB80001581473"
"94","80001581473","Templiner See bei Templin","2795","2795","Diatomeen","Amphora copulata",2010-08-04,2,NA,NA,"Zähldaten Taxa","Phylib Diatomeen","Diatomeen Seen 2010 Nordlos","DELW_DEBB80001581473"
"95","80001581473","Templiner See bei Templin","2795","2795a","Diatomeen","Amphora copulata",2017-08-05,0,NA,NA,"Zähldaten Taxa ohne cf","PHYLIB 5.3","Diatomeen Seen 2017","DELW_DEBB80001581473"
"96","80001581473","Templiner See bei Templin","2795","2795a","Diatomeen","Amphora copulata",2017-08-05,0,NA,"%","Abundanzen (alle) ohne cf","PHYLIB 5.3","Diatomeen Seen 2017","DELW_DEBB80001581473"
"97","80001581473","Templiner See bei Templin","2796","2796","Diatomeen","Amphora copulata",2010-08-02,0.1,NA,NA,"Abundanzen (alle)","Phylib Diatomeen","Diatomeen Seen 2010 Nordlos","DELW_DEBB80001581473"
"98","80001581473","Templiner See bei Templin","2796","2796","Diatomeen","Amphora copulata",2010-08-02,0.1,NA,NA,"Zähldaten Taxa","Phylib Diatomeen","Diatomeen Seen 2010 Nordlos","DELW_DEBB80001581473"
"99","80001581473","Templiner See bei Templin","2796","2796a","Diatomeen","Amphora copulata",2014-07-11,0.34,NA,"%","Abundanzen (alle) ohne cf","PHYLIB 4.1","Diatomeen Seen 2014","DELW_DEBB80001581473"
"100","80001581473","Templiner See bei Templin","2796","2796a","Diatomeen","Amphora copulata",2014-07-11,2,NA,NA,"Zähldaten Taxa ohne cf","PHYLIB 4.1","Diatomeen Seen 2014","DELW_DEBB80001581473"
"101","80001581473","Templiner See bei Templin","2791","2791a","Diatomeen","Amphora inariensis",2017-08-05,0,NA,NA,"Zähldaten Taxa ohne cf","PHYLIB 5.3","Diatomeen Seen 2017","DELW_DEBB80001581473"
"102","80001581473","Templiner See bei Templin","2791","2791a","Diatomeen","Amphora inariensis",2017-08-05,0,NA,"%","Abundanzen (alle) ohne cf","PHYLIB 5.3","Diatomeen Seen 2017","DELW_DEBB80001581473"
"103","80001581473","Templiner See bei Templin","2792","2792","Diatomeen","Amphora inariensis",2010-08-02,1.165,NA,NA,"Abundanzen (alle)","Phylib Diatomeen","Diatomeen Seen 2010 Nordlos","DELW_DEBB80001581473"
"104","80001581473","Templiner See bei Templin","2792","2792","Diatomeen","Amphora inariensis",2010-08-02,6,NA,NA,"Zähldaten Taxa","Phylib Diatomeen","Diatomeen Seen 2010 Nordlos","DELW_DEBB80001581473"
"105","80001581473","Templiner See bei Templin","2792","2792a","Diatomeen","Amphora inariensis",2017-08-05,0,NA,NA,"Zähldaten Taxa ohne cf","PHYLIB 5.3","Diatomeen Seen 2017","DELW_DEBB80001581473"
"106","80001581473","Templiner See bei Templin","2792","2792a","Diatomeen","Amphora inariensis",2017-08-05,0,NA,"%","Abundanzen (alle) ohne cf","PHYLIB 5.3","Diatomeen Seen 2017","DELW_DEBB80001581473"
"107","80001581473","Templiner See bei Templin","2793","2793","Diatomeen","Amphora inariensis",2010-08-04,0.769,NA,NA,"Abundanzen (alle)","Phylib Diatomeen","Diatomeen Seen 2010 Nordlos","DELW_DEBB80001581473"
"108","80001581473","Templiner See bei Templin","2793","2793","Diatomeen","Amphora inariensis",2010-08-04,4,NA,NA,"Zähldaten Taxa","Phylib Diatomeen","Diatomeen Seen 2010 Nordlos","DELW_DEBB80001581473"
"109","80001581473","Templiner See bei Templin","2794","2794","Diatomeen","Amphora inariensis",2010-08-04,0.591,NA,NA,"Abundanzen (alle)","Phylib Diatomeen","Diatomeen Seen 2010 Nordlos","DELW_DEBB80001581473"
"110","80001581473","Templiner See bei Templin","2794","2794","Diatomeen","Amphora inariensis",2010-08-04,3,NA,NA,"Zähldaten Taxa","Phylib Diatomeen","Diatomeen Seen 2010 Nordlos","DELW_DEBB80001581473"
"111","80001581473","Templiner See bei Templin","2794","2794a","Diatomeen","Amphora inariensis",2017-08-05,0.51,NA,"%","Abundanzen (alle) ohne cf","PHYLIB 5.3","Diatomeen Seen 2017","DELW_DEBB80001581473"
"112","80001581473","Templiner See bei Templin","2794","2794a","Diatomeen","Amphora inariensis",2017-08-05,3,NA,NA,"Zähldaten Taxa ohne cf","PHYLIB 5.3","Diatomeen Seen 2017","DELW_DEBB80001581473"
"113","80001581473","Templiner See bei Templin","2795","2795","Diatomeen","Amphora inariensis",2010-08-04,0.1,NA,NA,"Abundanzen (alle)","Phylib Diatomeen","Diatomeen Seen 2010 Nordlos","DELW_DEBB80001581473"
"114","80001581473","Templiner See bei Templin","2795","2795","Diatomeen","Amphora inariensis",2010-08-04,0.1,NA,NA,"Zähldaten Taxa","Phylib Diatomeen","Diatomeen Seen 2010 Nordlos","DELW_DEBB80001581473"
"115","80001581473","Templiner See bei Templin","2795","2795a","Diatomeen","Amphora inariensis",2017-08-05,2.74,NA,"%","Abundanzen (alle) ohne cf","PHYLIB 5.3","Diatomeen Seen 2017","DELW_DEBB80001581473"
"116","80001581473","Templiner See bei Templin","2795","2795a","Diatomeen","Amphora inariensis",2017-08-05,16,NA,NA,"Zähldaten Taxa ohne cf","PHYLIB 5.3","Diatomeen Seen 2017","DELW_DEBB80001581473"
"117","80001581473","Templiner See bei Templin","2791","2791a","Diatomeen","Amphora indistincta",2017-08-05,0.58,NA,"%","Abundanzen (alle) ohne cf","PHYLIB 5.3","Diatomeen Seen 2017","DELW_DEBB80001581473"
