"","TEMPLATE","EU_CD_P","LEG_CD","LEGISLINK","EU_CD_WB","NAMETEXT","TEXTINTERN","PAREA_T","LEGISNAME","WA_CD","RBD_CD","LAND_CD","DELIVERY","METADATA","URL","EVOLUTIONT","PA_COMMENT","PAREA_D_O","PAREA_D_S","PAREA_HB_O","PAREA_HB_S","PAREA_S_OB","PAREA_S_S","PAREA_EX","DESIGBEGIN"
"13","ProtectedAreaBird","DE3845307","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DERW_DEBB584992_880","Hirtengraben",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"14","ProtectedAreaBird","DE3542305","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DERW_DEBB585192742_1729","Graben 11/0 V 001",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"15","ProtectedAreaBird","DE3845307","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DERW_DEBB584_1696","Nuthe",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"16","ProtectedAreaBird","DE3845307","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DERW_DEBB584_1698","Nuthe",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"17","ProtectedAreaBird","DE3845307","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DERW_DEBB584_41","Nuthe",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"18","ProtectedAreaBird","DE3845307","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DERW_DEBB584_42","Nuthe",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"19","ProtectedAreaBird","DE3845307","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DERW_DEBB584112_851","Rohrbecker Graben",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"20","ProtectedAreaBird","DE3845307","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DERW_DEBB58412_397","Bochower Graben",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"21","ProtectedAreaBird","DE3845307","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DERW_DEBB58414_398","Markendorfer Graben",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"22","ProtectedAreaBird","DE3845307","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DERW_DEBB58416_399","Neuheimer Graben",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"23","ProtectedAreaBird","DE3845307","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DERW_DEBB58418_1746","Königsgraben Luckenwalde",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"24","ProtectedAreaBird","DE3845307","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DERW_DEBB5842_137","Steinerfließ",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"25","ProtectedAreaBird","DE3845307","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DERW_DEBB58424_402","Jänickendorfer Schleusengraben",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"26","ProtectedAreaBird","DE3845307","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DERW_DEBB5844_138","Hammerfließ",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"27","ProtectedAreaBird","DE3845307","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DERW_DEBB5844_141","Hammerfließ",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"28","ProtectedAreaBird","DE3845307","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DERW_DEBB584452_854","Horstgraben Horstwalde",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"29","ProtectedAreaBird","DE4051302","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DERW_DEBB582734_756","Lieberoser Mühlenfließ",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"30","ProtectedAreaBird","DE4051302","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DERW_DEBB5827348_1263","Barolder Mühlenfließ",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"31","ProtectedAreaBird","DE4051302","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DERW_DEBB58273482_1608","Möllnseegraben",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"32","ProtectedAreaBird","DE4051302","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DERW_DEBB58273482_1610","Möllnseegraben",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"33","ProtectedAreaBird","DE4051302","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DERW_DEBB5827348232_1713","Mochowfließ",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"34","ProtectedAreaBird","DE3542305","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DEGB_DEST_HAV_UH_7","Mittlere Havel Ergänzung",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"35","ProtectedAreaBird","DE3845307","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DERW_DEBB58446_405","Biebergraben",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"36","ProtectedAreaBird","DE3845307","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DERW_DEBB584464_856","Hollertgraben",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"37","ProtectedAreaBird","DE3845307","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DERW_DEBB5844642_1338","Holbecker Seegraben",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"38","ProtectedAreaBird","DE3845307","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DERW_DEBB58448_2066","Flotter Graben",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"39","ProtectedAreaBird","DE3845307","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DERW_DEBB58452_409","Illichengraben",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"40","ProtectedAreaBird","DE3845307","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DERW_DEBB5846_142","Großbeerener Graben",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"41","ProtectedAreaBird","DE2847304","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DELW_DEBB8000158146839","Netzowsee",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"42","ProtectedAreaBird","DE2847304","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DERW_DEBB58146_292","Trebowseegraben",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"43","ProtectedAreaBird","DE2847304","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DERW_DEBB58146_293","Trebowseegraben",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"44","ProtectedAreaBird","DE2847304","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DERW_DEBB581466_681","Trebehnseegraben",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"45","ProtectedAreaBird","DE2847304","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DERW_DEBB581468_682","Knehdenfließ",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"46","ProtectedAreaBird","DE2847304","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DERW_DEBB581468_684","Knehdenfließ",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"47","ProtectedAreaBird","DE2847304","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DERW_DEBB58146814_1562","Metzelthiner Forstgraben",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"48","ProtectedAreaBird","DE2847304","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DERW_DEBB58146832_1565","Hausseeabfluss",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"49","ProtectedAreaBird","DE2847304","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DELW_DEBB80001581473","Templiner See",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"50","ProtectedAreaBird","DE4051302","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DELW_DEBB800015827348239","Großer Mochowsee",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"51","ProtectedAreaBird","DE4051302","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DELW_DEBB80001582739","Schwielochsee",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"52","ProtectedAreaBird","DE3951305","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DELW_DEBB80001582739","Schwielochsee",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"53","ProtectedAreaBird","DE3951302","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DELW_DEBB80001582739","Schwielochsee",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"54","ProtectedAreaBird","DE3845307","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DERW_DEBB582814_806","Baruther Buschgraben",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"55","ProtectedAreaBird","DE3845307","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DELW_DEBB8000158393","Tiefer See",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"56","ProtectedAreaBird","DE3542305","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DELW_DEBB80001585119","Templiner See",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"57","ProtectedAreaBird","DE3542305","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DELW_DEBB80001585139","Schwielowsee",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"58","ProtectedAreaBird","DE3542305","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DELW_DEBB80001585159","Havel",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"59","ProtectedAreaBird","DE3542305","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DELW_DEBB800015851749","Wublitz",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"60","ProtectedAreaBird","DE3542305","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DELW_DEBB80001585179","Havel mit Zernseen bei Phöben",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"61","ProtectedAreaBird","DE3542305","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DERW_DEBB587496_927","Neuer Graben",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"62","ProtectedAreaBird","DE3542305","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DERW_DEBB58749632_1356","Beekengraben",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"63","ProtectedAreaBird","DE3542305","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DERW_DEBB587532_929","Pelzgraben",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"64","ProtectedAreaBird","DE3542305","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DERW_DEBB587536_931","Eisengraben",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"65","ProtectedAreaBird","DE3845307","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DEGB_DEBB_HAV_DA_3","Nuthe, Hammerfließ und Eiserbach",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"66","ProtectedAreaBird","DE3845307","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DEGB_DEBB_HAV_NU_1","Nuthe, Hammerfließ und Eiserbach",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"67","ProtectedAreaBird","DE3845307","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DEGB_DEBB_HAV_NU_2","Nuthe, Hammerfließ und Eiserbach",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"68","ProtectedAreaBird","DE3845307","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DEGB_DEBB_HAV_NU_3","Nuthe, Hammerfließ und Eiserbach",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"69","ProtectedAreaBird","DE3542305","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DEGB_DEBB_HAV_NU_3","Mittlere Havel Ergänzung",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"70","ProtectedAreaBird","DE3542305","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DEGB_DEBB_HAV_BP_1","Mittlere Havel Ergänzung",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"71","ProtectedAreaBird","DE2847304","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DEGB_DEBB_HAV_OH_3","Platkowsee-Netzowsee-Metzelthin",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"72","ProtectedAreaBird","DE3542305","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DEGB_DEBB_HAV_UH_2","Mittlere Havel Ergänzung",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"73","ProtectedAreaBird","DE3542305","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DEGB_DEBB_HAV_UH_3","Mittlere Havel Ergänzung",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
"74","ProtectedAreaBird","DE3542305","H","https://eur-lex.europa.eu/legal-content/DE/ALL/?uri=CELEX%3A31992L0043","DEGB_DEBB_HAV_UH_4","Mittlere Havel Ergänzung",NA,"5",NA,"5800","5000","DEBB",2021-08-11,"WFD_Parea_DEBB.xml","https://",NA,NA,NA,NA,"4",NA,NA,NA,"11",1992-05-21
