"","WK_ID","WASSERKÖRPER","ORT","MESSSTELLE","JAHR","PARAMETER","BESCHREIBUNG","METHODE","KOMPONENTE","EINHEIT","X_WERT","Y_WERT","WERT","EXPERTENURTEIL","KOMMENTAR","EU_CD_LW"
"40","80001581473","Templiner See bei Templin",NA,"80001581473_HM","2010","MST Biomasse_Metrik","Metrik Biomasse  für Messstelle und Jahr","PhytoSee 7.0 (15.12.2017)","Phytoplankton",NA,"401463","5887612","4,08",NA,NA,"DELW_DEBB80001581473"
"41","80001581473","Templiner See bei Templin",NA,"80001581473_HM","2010","Chl_Saison",NA,"LAWA-TI Gewässerbewertung stehender Gewässer","Chemie (See und FG)",NA,"401463","5887612","43,67",NA,NA,"DELW_DEBB80001581473"
"42","80001581473","Templiner See bei Templin",NA,"2795","2017","M_TILNord / Trophieindex (umger.)","See; Modul Trophie-Index (Wert zwischen 0 und 1)","PHYLIB 5.3","Diatomeen",NA,"401525","5887475","0,965",NA,NA,"DELW_DEBB80001581473"
"43","80001581473","Templiner See bei Templin",NA,"2791","2017","M_RAQ","See; Modul Referenzartenquotien","PHYLIB 5.3","Diatomeen",NA,"400387","5887253","0,5",NA,NA,"DELW_DEBB80001581473"
"44","80001581473","Templiner See bei Templin",NA,"2791","2014","M_TILNord / Trophieindex (umger.)","See; Modul Trophie-Index (Wert zwischen 0 und 1)","PHYLIB 5.3","Diatomeen",NA,"400387","5887253","1",NA,NA,"DELW_DEBB80001581473"
"45","80001581473","Templiner See bei Templin",NA,"80001581473_HM","2010","TP_Saison",NA,"LAWA-TI Gewässerbewertung stehender Gewässer","Chemie (See und FG)",NA,"401463","5887612","40,17",NA,NA,"DELW_DEBB80001581473"
"46","80001581473","Templiner See bei Templin",NA,"2794","2010","MIB","Makrophytenindex Brandenburg","MIB 2004","Makrophyten",NA,"402230","5888027","3,16",NA,NA,"DELW_DEBB80001581473"
"47","80001581473","Templiner See bei Templin",NA,"2793","2023","Zustandsklasse","Zustands-/Potentialklasse","PHYLIB 5.3","Diatomeen",NA,"401825","5887963","1",NA,NA,"DELW_DEBB80001581473"
"48","80001581473","Templiner See bei Templin",NA,"80001581473_HM","2020","MST MinvonMonat",NA,"PhytoSee 7.0 (15.12.2017)","Phytoplankton",NA,"401463","5887612","4",NA,NA,"DELW_DEBB80001581473"
"49","80001581473","Templiner See bei Templin",NA,"2792","2010","Teilbewertung Diatomeen/Zustands-/Potentialklasse FGW und Seen","FGW, See; Bewertung der Messstelle (1 bis 5 möglich), bei Wert='999' ist das Ergebnis ungesichert; (bei FGW-Halobienindex und Versauerung wird berücksichtigt)","PHYLIB 4.1","Diatomeen",NA,"400996","5887369","2",NA,NA,"DELW_DEBB80001581473"
"50","80001581473","Templiner See bei Templin",NA,"80001581473_HM","2010","MST IST_PTSI_WERT","Phytoplankton-Taxa-Seen-Index Ist-Wert im Jahresmittel für die Messstelle","PhytoSee 7.0 (15.12.2017)","Phytoplankton",NA,"401463","5887612","3,66",NA,NA,"DELW_DEBB80001581473"
"51","80001581473","Templiner See bei Templin",NA,"2793","2007","I_UMG","Index aus der unteren Makrophytengrenze, Teilindex des MIB","MIB 2004","Makrophyten",NA,"401825","5887963","0-1,9",NA,NA,"DELW_DEBB80001581473"
"52","80001581473","Templiner See bei Templin",NA,"2793","2014","Diatomeentyp","Diatomeentyp des Wasserköpers verwendet in der Bewertung der Messstelle (siehe Tabelle WAGUET_OWNER_SCHLUESSEL_WERT_TEXT)","PHYLIB 5.3","Diatomeen",NA,"401825","5887963","DS 11",NA,NA,"DELW_DEBB80001581473"
"53","80001581473","Templiner See bei Templin",NA,"2796","2017","Makrophytentyp","Makrophytentyp des Wasserköpers verwendet in der Bewertung der Messstelle (siehe Tabelle WAGUET_OWNER_SCHLUESSEL_WERT_TEXT)","PHYLIB 5.3","Diatomeen",NA,"400740","5886956","TKp - 11",NA,NA,"DELW_DEBB80001581473"
"54","80001581473","Templiner See bei Templin",NA,"2793","2007","Anzahl inidkativer Taxa","Diatomeen Seen","nicht bekannt","Diatomeen",NA,"401825","5887963","14",NA,NA,"DELW_DEBB80001581473"
"55","80001581473","Templiner See bei Templin",NA,"80001581473_HM","2017","MST Diff PTSI-RefTrophie","Differenz zwischen PTSI und Referenztrophiefür Messstelle und Jahr","PhytoSee 7.0 (15.12.2017)","Phytoplankton",NA,"401463","5887612","1,52",NA,NA,"DELW_DEBB80001581473"
"56","80001581473","Templiner See bei Templin",NA,"2795","2017","Teilbewertung Diatomeen/Zustands-/Potentialklasse FGW und Seen","FGW, See; Bewertung der Messstelle (1 bis 5 möglich), bei Wert='999' ist das Ergebnis ungesichert; (bei FGW-Halobienindex und Versauerung wird berücksichtigt)","PHYLIB 5.3","Diatomeen",NA,"401525","5887475","1",NA,NA,"DELW_DEBB80001581473"
"57","80001581473","Templiner See bei Templin",NA,"80001581473_HM","2014","MST TypPTSI_Ref","PTSI-Referenz für den Typ","PhytoSee 7.0 (15.12.2017)","Phytoplankton",NA,"401463","5887612","2",NA,NA,"DELW_DEBB80001581473"
"58","80001581473","Templiner See bei Templin",NA,"80001581473_HM","2017","MST TypPTSI_Ref","PTSI-Referenz für den Typ","PhytoSee 7.0 (15.12.2017)","Phytoplankton",NA,"401463","5887612","2",NA,NA,"DELW_DEBB80001581473"
"59","80001581473","Templiner See bei Templin",NA,"2796","2007","TIL_Nord","See; berechneter Trophie-Index Nord","nicht bekannt","Diatomeen",NA,"400740","5886956","3,1",NA,NA,"DELW_DEBB80001581473"
"60","80001581473","Templiner See bei Templin",NA,"2792","2023","Gesamthäufigkeit (prozent) D","Gesamthäufigkeit [%] D","PHYLIB 5.3","Diatomeen",NA,"400996","5887369","100,01",NA,NA,"DELW_DEBB80001581473"
"61","80001581473","Templiner See bei Templin",NA,"2795","2014","TIL_Nord","See; berechneter Trophie-Index Nord","PHYLIB 5.3","Diatomeen",NA,"401525","5887475","1,81",NA,NA,"DELW_DEBB80001581473"
"62","80001581473","Templiner See bei Templin",NA,"2794","2017","M_RAQ","See; Modul Referenzartenquotien","PHYLIB 5.3","Diatomeen",NA,"402230","5888027","0,54",NA,NA,"DELW_DEBB80001581473"
"63","80001581473","Templiner See bei Templin",NA,"2793","2014","M_RAQ","See; Modul Referenzartenquotien","PHYLIB 5.3","Diatomeen",NA,"401825","5887963","0,86",NA,NA,"DELW_DEBB80001581473"
"64","80001581473","Templiner See bei Templin",NA,"2795","2017","Diatomeentyp","Diatomeentyp des Wasserköpers verwendet in der Bewertung der Messstelle (siehe Tabelle WAGUET_OWNER_SCHLUESSEL_WERT_TEXT)","PHYLIB 5.3","Diatomeen",NA,"401525","5887475","DS 11",NA,NA,"DELW_DEBB80001581473"
"65","80001581473","Templiner See bei Templin",NA,"80001581473_HM","2010","MST PTSI H/G","H/G PTSI vom Typ","PhytoSee 7.0 (15.12.2017)","Phytoplankton",NA,"401463","5887612","2,5",NA,NA,"DELW_DEBB80001581473"
"66","80001581473","Templiner See bei Templin",NA,"2795","2023","Diatomeentyp","Diatomeentyp des Wasserköpers verwendet in der Bewertung der Messstelle (siehe Tabelle WAGUET_OWNER_SCHLUESSEL_WERT_TEXT)","PHYLIB 5.3","Diatomeen",NA,"401525","5887475","DS 11",NA,NA,"DELW_DEBB80001581473"
"67","80001581473","Templiner See bei Templin",NA,"2791","2014","Teilbewertung Diatomeen/Zustands-/Potentialklasse FGW und Seen","FGW, See; Bewertung der Messstelle (1 bis 5 möglich), bei Wert='999' ist das Ergebnis ungesichert; (bei FGW-Halobienindex und Versauerung wird berücksichtigt)","PHYLIB 5.3","Diatomeen",NA,"400387","5887253","1",NA,NA,"DELW_DEBB80001581473"
"68","80001581473","Templiner See bei Templin",NA,"2791","2023","Teilbewertung Diatomeen/Zustands-/Potentialklasse FGW und Seen","FGW, See; Bewertung der Messstelle (1 bis 5 möglich), bei Wert='999' ist das Ergebnis ungesichert; (bei FGW-Halobienindex und Versauerung wird berücksichtigt)","PHYLIB 5.3","Diatomeen",NA,"400387","5887253","1",NA,NA,"DELW_DEBB80001581473"
"69","80001581473","Templiner See bei Templin",NA,"2795","2014","M_TILNord / Trophieindex (umger.)","See; Modul Trophie-Index (Wert zwischen 0 und 1)","PHYLIB 5.3","Diatomeen",NA,"401525","5887475","1",NA,NA,"DELW_DEBB80001581473"
"70","80001581473","Templiner See bei Templin",NA,"80001581473_HM","2017","MST PSI Phyto-See-Index","PSI als Zahl für Messstelle und Jahr","PhytoSee 7.0 (15.12.2017)","Phytoplankton",NA,"401463","5887612","3,19",NA,NA,"DELW_DEBB80001581473"
"71","80001581473","Templiner See bei Templin",NA,"2794","2010","Teilbewertung Diatomeen/Zustands-/Potentialklasse FGW und Seen","FGW, See; Bewertung der Messstelle (1 bis 5 möglich), bei Wert='999' ist das Ergebnis ungesichert; (bei FGW-Halobienindex und Versauerung wird berücksichtigt)","PHYLIB 4.1","Diatomeen",NA,"402230","5888027","2",NA,NA,"DELW_DEBB80001581473"
"72","80001581473","Templiner See bei Templin",NA,"2795","2014","M_RAQ","See; Modul Referenzartenquotien","PHYLIB 5.3","Diatomeen",NA,"401525","5887475","0,73",NA,NA,"DELW_DEBB80001581473"
"73","80001581473","Templiner See bei Templin",NA,"80001581473euphot","2007","Sichttiefe_Jahesmittel","Sichttiefe_Jahesmittel in m","nicht bekannt","Chemie (See und FG)",NA,"401443","5887660","1,03",NA,NA,"DELW_DEBB80001581473"
"74","80001581473","Templiner See bei Templin",NA,"2794","2017","WRRL-Fließgewässertyp","WRRL-Fließgewässertyp und -Seetyp verwendet in der Bewertung der Messstelle (siehe Tabelle WAGUET_OWNER_SCHLUESSEL_WERT_TEXT)","PHYLIB 5.3","Diatomeen",NA,"402230","5888027","11",NA,NA,"DELW_DEBB80001581473"
"75","80001581473","Templiner See bei Templin",NA,"80001581473_HM","2017","Bewertung Phytoplankton","Bi Phytoplankton ( nach neuer (2009) See-Typzuweisung und Phytosee 4) und Phytofliess","PhytoSee 7.0 (15.12.2017)","Phytoplankton",NA,"401463","5887612","3",NA,NA,"DELW_DEBB80001581473"
"76","80001581473","Templiner See bei Templin",NA,"2793","2023","Teilbewertung Diatomeen/Zustands-/Potentialklasse FGW und Seen","FGW, See; Bewertung der Messstelle (1 bis 5 möglich), bei Wert='999' ist das Ergebnis ungesichert; (bei FGW-Halobienindex und Versauerung wird berücksichtigt)","PHYLIB 5.3","Diatomeen",NA,"401825","5887963","1",NA,NA,"DELW_DEBB80001581473"
"77","80001581473","Templiner See bei Templin",NA,"80001581473_HM","2020","MST PTSI H/G","H/G PTSI vom Typ","PhytoSee 7.0 (15.12.2017)","Phytoplankton",NA,"401463","5887612","2,5",NA,NA,"DELW_DEBB80001581473"
"78","80001581473","Templiner See bei Templin",NA,"2795","2023","Teilbewertung Diatomeen/Zustands-/Potentialklasse FGW und Seen","FGW, See; Bewertung der Messstelle (1 bis 5 möglich), bei Wert='999' ist das Ergebnis ungesichert; (bei FGW-Halobienindex und Versauerung wird berücksichtigt)","PHYLIB 5.3","Diatomeen",NA,"401525","5887475","2",NA,NA,"DELW_DEBB80001581473"
"79","80001581473","Templiner See bei Templin",NA,"2794","2017","I_Arten","Artindex, Teilindex des MIB","MIB 2004","Makrophyten",NA,"402230","5888027","0-2,53",NA,NA,"DELW_DEBB80001581473"
"80","80001581473","Templiner See bei Templin",NA,"80001581473_HM","2009","TP_Frühjahr_Anzahl",NA,"LAWA-TI Gewässerbewertung stehender Gewässer","Chemie (See und FG)",NA,"401463","5887612","5",NA,NA,"DELW_DEBB80001581473"
"81","80001581473","Templiner See bei Templin",NA,"2796","2017","TIL_Nord","See; berechneter Trophie-Index Nord","PHYLIB 5.3","Diatomeen",NA,"400740","5886956","1,91",NA,NA,"DELW_DEBB80001581473"
"82","80001581473","Templiner See bei Templin",NA,"80001581473_HM","2023","MST Chryso-Bewertung","Bewertung Chryso für Messstelle und Jahr","PhytoSee Online 8.0.3 (09.04.2024)","Phytoplankton",NA,"401463","5887612","1,67",NA,NA,"DELW_DEBB80001581473"
"83","80001581473","Templiner See bei Templin",NA,"2791","2014","Diatomeentyp","Diatomeentyp des Wasserköpers verwendet in der Bewertung der Messstelle (siehe Tabelle WAGUET_OWNER_SCHLUESSEL_WERT_TEXT)","PHYLIB 5.3","Diatomeen",NA,"400387","5887253","DS 11",NA,NA,"DELW_DEBB80001581473"
"84","80001581473","Templiner See bei Templin",NA,"2792","2023","Bewertung (dezimal)","Bewertung (dezimal)","PHYLIB 5.3","Diatomeen",NA,"400996","5887369","1,16",NA,NA,"DELW_DEBB80001581473"
"85","80001581473","Templiner See bei Templin",NA,"2792","2007","TIL_Nord","See; berechneter Trophie-Index Nord","nicht bekannt","Diatomeen",NA,"400996","5887369","2,84",NA,NA,"DELW_DEBB80001581473"
"86","80001581473","Templiner See bei Templin",NA,"80001581473_HM","2020","MST Chla µg/l",NA,"PhytoSee 7.0 (15.12.2017)","Phytoplankton",NA,"401463","5887612","51,17",NA,NA,"DELW_DEBB80001581473"
"87","80001581473","Templiner See bei Templin",NA,"80001581473_HM","2014","MST N_Indikatortaxa","mittlere Anzahl nutzbarer Indikatortaxa","PhytoSee 7.0 (15.12.2017)","Phytoplankton",NA,"401463","5887612","15,67",NA,NA,"DELW_DEBB80001581473"
"88","80001581473","Templiner See bei Templin",NA,"2794","2014","Teilbewertung Diatomeen, vorläufig/FGW - Ergebnis ohne Salzbelastung & See - vorläufige Bewertung","See, FGW; Bewertung der Messstelle (1 bis 5 möglich), bei Wert='999' ist das Ergebnis ungesichert; Seen - TI-Anteil, RAQ-Arten und TI-Anzahl wird berücksichtigt","PHYLIB 5.3","Diatomeen",NA,"402230","5888027","1",NA,NA,"DELW_DEBB80001581473"
"89","80001581473","Templiner See bei Templin",NA,"2791","2017","TIL_Nord","See; berechneter Trophie-Index Nord","PHYLIB 5.3","Diatomeen",NA,"400387","5887253","2",NA,NA,"DELW_DEBB80001581473"
"90","80001581473","Templiner See bei Templin",NA,"2791","2017","M_TILNord / Trophieindex (umger.)","See; Modul Trophie-Index (Wert zwischen 0 und 1)","PHYLIB 5.3","Diatomeen",NA,"400387","5887253","0,998",NA,NA,"DELW_DEBB80001581473"
"91","80001581473","Templiner See bei Templin",NA,"2793","2007","MIB","Makrophytenindex Brandenburg","MIB 2004","Makrophyten",NA,"401825","5887963","3,15",NA,NA,"DELW_DEBB80001581473"
"92","80001581473","Templiner See bei Templin",NA,"2794","2017","MIB","Makrophytenindex Brandenburg","nicht bekannt","Makrophyten",NA,"402230","5888027","2,97",NA,NA,"DELW_DEBB80001581473"
"93","80001581473","Templiner See bei Templin",NA,"80001581473_HM","2023","TP_Frühjahr",NA,"LAWA-TI Gewässerbewertung stehender Gewässer","Chemie (See und FG)",NA,"401463","5887612","58",NA,NA,"DELW_DEBB80001581473"
"94","80001581473","Templiner See bei Templin",NA,"2794","2014","WRRL-Fließgewässertyp","WRRL-Fließgewässertyp und -Seetyp verwendet in der Bewertung der Messstelle (siehe Tabelle WAGUET_OWNER_SCHLUESSEL_WERT_TEXT)","PHYLIB 5.3","Diatomeen",NA,"402230","5888027","11",NA,NA,"DELW_DEBB80001581473"
"95","80001581473","Templiner See bei Templin",NA,"80001581473_HM","2014","Chl_Saison",NA,"LAWA-TI Gewässerbewertung stehender Gewässer","Chemie (See und FG)",NA,"401463","5887612","33,4",NA,NA,"DELW_DEBB80001581473"
"96","80001581473","Templiner See bei Templin",NA,"2791","2023","Diatomeentyp","Diatomeentyp des Wasserköpers verwendet in der Bewertung der Messstelle (siehe Tabelle WAGUET_OWNER_SCHLUESSEL_WERT_TEXT)","PHYLIB 5.3","Diatomeen",NA,"400387","5887253","DS 11",NA,NA,"DELW_DEBB80001581473"
"97","80001581473","Templiner See bei Templin",NA,"2796","2007","Teilbewertung Diatomeen/Zustands-/Potentialklasse FGW und Seen","FGW, See; Bewertung der Messstelle (1 bis 5 möglich), bei Wert='999' ist das Ergebnis ungesichert; (bei FGW-Halobienindex und Versauerung wird berücksichtigt)","nicht bekannt","Diatomeen",NA,"400740","5886956","2",NA,NA,"DELW_DEBB80001581473"
"98","80001581473","Templiner See bei Templin",NA,"2793","2017","vorlaeufigeBewertung","See; Fließgew; vorläufige Bewertung der Messstelle, (FGW - Halobienindex und Versauerung wird nicht berücksichtigt; Seen - TI-Anteil, RAQ-Arten und TI-Anzahl wird nicht berücksichtigt)","PHYLIB 5.3","Diatomeen",NA,"401825","5887963","1",NA,NA,"DELW_DEBB80001581473"
"99","80001581473","Templiner See bei Templin",NA,"80001581473_HM","2017","MST Bac_Crypto_S_Bew","Bewertung Bac_Crypto für Messstelle und Jahr","PhytoSee 7.0 (15.12.2017)","Phytoplankton",NA,"401463","5887612","1,5",NA,NA,"DELW_DEBB80001581473"
"100","80001581473","Templiner See bei Templin",NA,"2794","2007","MIB","Makrophytenindex Brandenburg","MIB 2004","Makrophyten",NA,"402230","5888027","3,1",NA,NA,"DELW_DEBB80001581473"
